Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	161	3715	5853	5995	127	6035	4605	6045	5209	4294	6005	5723	6018	3513	6018	1718	3288
Th068.12	161	0	3719	5860	6006	149	6052	4612	6049	5229	4293	6015	5743	6042	3519	6026	1720	3291
Th074.13	3715	3719	0	234	3876	3724	91	159	154	94	147	98	3868	80	3673	88	1775	3453
Th086.07	5853	5860	234	0	5940	4583	417	211	281	332	186	384	5713	411	3549	412	1716	3329
Th092.13	5995	6006	3876	5940	0	4702	6141	4745	6139	5328	4440	6103	148	6118	85	6114	48	84
Th095.13	127	149	3724	4583	4702	0	4758	4614	4737	4726	4313	4713	4697	4728	3517	4734	1724	3302
Th106.09	6035	6052	91	417	6141	4758	0	224	323	136	217	184	5901	163	3680	161	1782	3454
Th106.11	4605	4612	159	211	4745	4614	224	0	108	231	104	251	4742	219	3669	220	1788	3443
Th117.11	6045	6049	154	281	6139	4737	323	108	0	243	102	334	5905	301	3662	318	1782	3450
Th132.11	5209	5229	94	332	5328	4726	136	231	243	0	205	147	5332	135	3670	125	1783	3450
Th134.11	4294	4293	147	186	4440	4313	217	104	102	205	0	234	4439	208	3665	220	1784	3440
Th162.12	6005	6015	98	384	6103	4713	184	251	334	147	234	0	5865	162	3641	175	1767	3422
Th166.12	5723	5743	3868	5713	148	4697	5901	4742	5905	5332	4439	5865	0	5882	83	5880	49	93
Th196.12	6018	6042	80	411	6118	4728	163	219	301	135	208	162	5882	0	3663	143	1777	3439
Th211.13	3513	3519	3673	3549	85	3517	3680	3669	3662	3670	3665	3641	83	3663	0	3662	44	75
Th230.12	6018	6026	88	412	6114	4734	161	220	318	125	220	175	5880	143	3662	0	1775	3446
Th245.13	1718	1720	1775	1716	48	1724	1782	1788	1782	1783	1784	1767	49	1777	44	1775	0	43
Th246.13	3288	3291	3453	3329	84	3302	3454	3443	3450	3450	3440	3422	93	3439	75	3446	43	0
