	Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	3090	2704	2721	3030	2779	3081	3077	3208	3135	17171	17093	16969	16912	16936	17597	17517	17358
Th106.09		0	2006	2081	1765	2005	1912	1890	1715	1785	17356	17325	17269	17373	17241	17865	17926	17884
Th106.11			0	1721	2191	1815	2394	2312	2061	2182	17363	17323	17197	17168	17196	17808	17752	17670
Th117.11				0	2122	1835	2288	2289	2036	2165	17245	17245	17013	17043	17015	17711	17693	17644
Th132.11					0	2238	1949	1815	1860	1843	17415	17411	17265	17253	17176	17916	17963	17770
Th134.11						0	2343	2278	2130	2185	17179	17315	17110	17236	17170	17642	17853	17673
Th162.12							0	1757	1991	2030	17390	17287	17132	17227	17231	17877	17775	17661
Th196.12								0	1832	1790	17368	17245	17302	17258	17306	17938	17849	17736
Th230.12									0	1780	17216	17149	17101	17094	17239	17786	17813	17690
Th074.13										0	17257	17202	17071	17187	17110	17728	17820	17722
Th166.12											0	1987	1761	1774	1705	17578	17686	17605
Th092.13												0	1882	1825	1877	17758	17619	17658
Th211.13													0	1773	1722	17591	17571	17552
Th245.13														0	1732	17653	17508	17593
Th246.13															0	17510	17542	17537
Th068.12																0	1933	1888
Th061.13																	0	1802
Th095.13																		0
