Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	178	8365	12074	12225	145	12261	9919	12277	10883	9406	12225	11802	12236	7965	12232	4293	7476
Th068.12		0	8365	12073	12233	165	12272	9919	12277	10897	9398	12226	11818	12255	7968	12235	4294	7474
Th074.13			0	324	8587	8376	93	228	227	105	222	116	8584	94	8273	106	4442	7777
Th086.07				0	12290	9986	569	241	322	479	217	540	11922	573	8145	566	4382	7652
Th092.13					0	10051	12487	10135	12496	11108	9625	12445	154	12458	90	12453	50	88
Th095.13						0	10163	9928	10151	10119	9427	10112	10051	10125	7969	10128	4303	7488
Th106.09							0	335	450	150	334	206	12106	180	8281	181	4450	7778
Th106.11								0	112	352	110	379	10137	342	8275	347	4459	7773
Th117.11									0	368	110	477	12118	441	8271	461	4453	7783
Th132.11										0	330	170	11115	154	8275	137	4455	7779
Th134.11											0	364	9628	337	8269	348	4451	7768
Th162.12												0	12066	189	8255	199	4444	7760
Th166.12													0	12081	88	12078	51	97
Th196.12														0	8276	166	4449	7778
Th211.13															0	8272	44	80
Th230.12																0	4449	7782
Th245.13																	0	45
Th246.13																		0
