#/seq/plasmodium/sredmond//refs/Pf3D7_v3.fasta
#/seq/plasmodium/sredmond//pfdisco//gatkHaplo_halfmeg_fakeNGS/haplo.r3D7.ALL.PfDD2.vcf.gz
block 	N.PfDD2_v1	AS.PfDD2_v1	NM.PfDD2_v1	XS.PfDD2_v1 	N.Pf3D7_v3	AS.Pf3D7_v3	NM.Pf3D7_v3	XS.Pf3D7_v3 
1 	1	9364	300	67 	1	9999	0	71 
2 	5	9570	623	243 	1	9999	0	51 
3 	1	9621	56	56 	3	9905	151	58 
4 	1	10007	1	73 	1	9537	188	79 
5 	1	10086	0	60 	2	9649	1502	134 
6 	1	10083	0	1469 	2	9857	146	1473 
7 	11	3572	826	2576 	1	9810	36	2030 
8 	4	7174	811	4169 	1	9999	0	4523 
9 	10	3122	999	2313 	1	9991	2	1282 
10 	15	3873	940	2439 	1	9968	7	1184 
11 	13	3640	724	2700 	1	9471	137	812 
12 	7	7353	587	3849 	1	9365	154	1902 
13 	13	5692	678	4253 	1	9828	43	3487 
14 	10	3883	524	2701 	1	9648	83	1368 
15 	15	4190	556	1284 	1	9671	87	586 
16 	1	9753	62	374 	1	8686	339	1010 
17 	1	9980	0	76 	1	9344	196	76 
18 	1	9867	49	81 	1	9608	114	104 
19 	1	10004	0	64 	1	9541	140	55 
20 	1	10013	0	60 	1	9529	138	64 
21 	1	9871	44	179 	1	9741	76	227 
22 	2	10164	40	162 	1	9410	202	60 
23 	2	16686	64	79 	1	9495	140	79 
24 	1	9946	0	80 	1	8724	257	69 
25 	1	9834	27	55 	2	9677	197	113 
26 	2	10065	21	139 	1	9310	205	97 
27 	2	9944	30	113 	1	9354	196	69 
28 	1	9686	52	72 	3	10022	294	177 
29 	2	9618	74	59 	2	9412	140	180 
30 	2	10055	73	276 	2	11393	287	110 
