chr	pos	vartype	varlen	vcomplex	STRtype	INDtype	DUST	STRP	STRE	alleles	call_rate	nuc_div	FDKDiscord	FDK2D4Incons	2D4Discord	2D4RefAbsent	FDKRefAbsent	coding	consequence	DD2FDKMAF
PFC10_API_IRAB	23	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	987	SNP	1	0			0			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	1205	INDEL	1	0.051		polyA	0			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	2784	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	2787	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	15405	INDEL	-14	0.027			1			2	1.0	0.0	0	0	0	1	1	coding	frameshift_variant	0.0
PFC10_API_IRAB	17266	INDEL	3	0.103		TArich	1			2	1.0	0.516	0	0	0	1	1	coding	inframe_insertion	0.0
PFC10_API_IRAB	17915	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
PFC10_API_IRAB	18828	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	missense_variant	0.0
PFC10_API_IRAB	18860	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	missense_variant	0.0
PFC10_API_IRAB	22669	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
PFC10_API_IRAB	23946	INDEL	2	0.077		TArep	1			2	1.0	0.0	0	0	0	1	1	coding	frameshift_variant&stop_lost&splice_region_variant	0.0
PFC10_API_IRAB	23947	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	stop_lost&splice_region_variant	0.0
PFC10_API_IRAB	27761	INDEL	-1	0.027		polyA	0			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	28008	INDEL	-1	0.027		polyA	0			2	1.0	0.0	0	0	0	1	1	coding	non_coding_exon_variant	0.0
PFC10_API_IRAB	28127	INDEL	1	0.054		polyA	1			2	1.0	0.0	0	0	0	1	1	intergenic		0.0
