Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	399	300	300	445	256	475	493	442	473	8030	7959	8021	8033	7970	8317	8415	8370
Th106.09	399	0	232	236	101	226	99	114	84	64	8064	7987	8075	8080	7998	8375	8421	8425
Th106.11	300	232	0	85	276	83	316	283	260	254	8102	8037	8118	8115	8018	8458	8521	8506
Th117.11	300	236	85	0	283	91	303	287	263	279	8072	8000	8096	8093	8033	8437	8507	8490
Th132.11	445	101	276	283	0	284	141	113	87	117	8095	8031	8095	8118	8054	8407	8509	8457
Th134.11	256	226	83	91	284	0	288	295	269	265	8070	8014	8054	8095	8018	8442	8482	8483
Th162.12	475	99	316	303	141	288	0	147	133	156	8151	8087	8136	8180	8073	8482	8590	8540
Th196.12	493	114	283	287	113	295	147	0	101	118	8171	8089	8139	8175	8120	8447	8529	8484
Th230.12	442	84	260	263	87	269	133	101	0	101	8102	8047	8097	8102	8047	8436	8488	8495
Th074.13	473	64	254	279	117	265	156	118	101	0	8107	8041	8122	8176	8100	8479	8539	8522
Th166.12	8030	8064	8102	8072	8095	8070	8151	8171	8102	8107	0	130	176	152	147	9094	9165	9165
Th092.13	7959	7987	8037	8000	8031	8014	8087	8089	8047	8041	130	0	167	193	151	9008	9091	9083
Th211.13	8021	8075	8118	8096	8095	8054	8136	8139	8097	8122	176	167	0	215	179	9126	9199	9208
Th245.13	8033	8080	8115	8093	8118	8095	8180	8175	8102	8176	152	193	215	0	213	9136	9228	9195
Th246.13	7970	7998	8018	8033	8054	8018	8073	8120	8047	8100	147	151	179	213	0	9034	9144	9124
Th068.12	8317	8375	8458	8437	8407	8442	8482	8447	8436	8479	9094	9008	9126	9136	9034	0	256	198
Th061.13	8415	8421	8521	8507	8509	8482	8590	8529	8488	8539	9165	9091	9199	9228	9144	256	0	200
Th095.13	8370	8425	8506	8490	8457	8483	8540	8484	8495	8522	9165	9083	9208	9195	9124	198	200	0
