# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_exon_loss_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_exon_loss_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_exon_loss_variant+start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_exon_loss_variant+start_lost+splice_region_variant+synonymous_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+splice_acceptor_variant+splice_donor_variant+missense_variant+splice_region_variant+intron_variant	variants_effect_frameshift_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+start_lost+missense_variant	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_gained+start_lost	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_missense_variant+inframe_deletion	variants_effect_missense_variant+inframe_insertion	variants_effect_missense_variant+splice_region_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+missense_variant+disruptive_inframe_deletion+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+inframe_deletion+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_start_lost+inframe_insertion	variants_effect_start_lost+missense_variant+disruptive_inframe_deletion	variants_effect_start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_start_lost+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_start_lost+splice_region_variant	variants_effect_start_lost+splice_region_variant+synonymous_variant	variants_effect_stop_gained	variants_effect_stop_gained+disruptive_inframe_insertion	variants_effect_stop_gained+inframe_insertion	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_NONE	total_score_NONE	length_NONE	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
PF3D7_0709900	PF3D7_0709900	rna_PF3D7_0709900-1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0710000	PF3D7_0710000	rna_PF3D7_0710000-1		1	16	16	1102	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	238	12	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	864	0	0	0	31	0	2547	238	0	222	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	864	0	5000
PF3D7_0710100	PF3D7_0710100	rna_PF3D7_0710100-1		192	4	92	773	0	47	304	0	0	0	0	0	0	128	0	0	0	0	0	52	0	0	36	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	1	4	469	304	0	5000	288	0	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	5000
PF3D7_0710200	PF3D7_0710200	rna_PF3D7_0710200-1		5	58	186	1168	5	7	304	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	58	864	304	0	5000	249	0	8733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	5000
PF3D7_0710300	PF3D7_0710300	rna_PF3D7_0710300-1		0	1	0	602	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	360	231	0	5000	1	0	177	11	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	5000
PF3D7_0710400	PF3D7_0710400	rna_PF3D7_0710400-1		0	1	3	573	1	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	349	224	0	5000	4	0	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	5000
PF3D7_0710500	PF3D7_0710500	rna_PF3D7_0710500-1		0	2	1	706	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	300	0	5000	1	0	246	10	0	201	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	396	0	5000
PF3D7_0710600	PF3D7_0710600	rna_PF3D7_0710600-1		0	0	0	653	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	360	0	5000	0	0	0	3	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	5000
PF3D7_0710700	PF3D7_0710700	rna_PF3D7_0710700-1		20	14	44	580	0	1	281	0	0	0	0	0	0	2	0	0	0	2	1	0	1	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	4	0	0	0	0	0	14	299	281	0	5000	68	0	606	0	0	0	7	0	606	0	0	0	0	0	0	0	0	0	3	0	606	299	0	5000
PF3D7_0710800	PF3D7_0710800	rna_PF3D7_0710800-1		0	0	1	588	0	1	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	364	0	5000	1	0	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	5000
