#/seq/plasmodium/sredmond//refs/Pf3D7_v3.fasta
#/seq/plasmodium/sredmond//pfdisco//gatkHaplo_halfmeg_fakeNGS/haplo.r3D7.ALL.Pf3D7.vcf.gz
block 	N.PfDD2_v1	AS.PfDD2_v1	NM.PfDD2_v1	XS.PfDD2_v1 	N.Pf3D7_v3	AS.Pf3D7_v3	NM.Pf3D7_v3	XS.Pf3D7_v3 
1 	1	9364	300	67 	1	9999	0	71 
2 	5	9570	623	243 	1	9999	0	51 
3 	3	9663	207	110 	1	9999	0	52 
4 	1	9533	189	71 	1	9999	0	68 
5 	2	9649	1502	70 	1	9999	0	69 
6 	2	9857	146	1468 	1	9999	0	1322 
7 	13	4659	960	3394 	1	9999	0	2144 
8 	4	7174	811	4169 	1	9999	0	4523 
9 	10	3114	1000	2313 	1	9999	0	1282 
10 	15	3863	942	2407 	1	9999	0	1184 
11 	12	3405	751	2752 	1	9999	0	748 
12 	8	6809	502	3528 	1	9999	0	1502 
13 	12	5525	678	4274 	1	9999	0	3501 
14 	9	3909	678	2826 	1	9999	0	1377 
15 	14	4046	650	1282 	1	9999	0	736 
16 	1	8437	399	353 	1	9999	0	389 
17 	1	9344	196	0 	1	9999	0	0 
18 	1	9452	163	81 	1	9999	0	104 
19 	1	9548	140	0 	1	9999	0	51 
20 	1	9530	138	60 	1	9999	0	57 
21 	1	9597	120	179 	1	9999	0	227 
22 	2	7951	803	164 	1	9999	0	74 
23 	3	9851	199	193 	1	9999	0	79 
24 	1	8724	257	99 	1	9999	0	88 
25 	1	8723	199	59 	1	9999	0	61 
26 	2	9437	243	130 	1	9999	0	97 
27 	2	10993	1005	129 	1	9999	0	70 
28 	3	11177	367	150 	1	9999	0	74 
29 	2	9043	1134	124 	1	9999	0	119 
30 	1	8261	1098	175 	1	9999	0	59 
