#/seq/plasmodium/sredmond//refs/Pf3D7_v3.fasta
#/seq/plasmodium/sredmond//pfdisco//analyses/nucmer/nucmer.Pf3D7_07_v3xPfDd2_07_TT.vcf.gz
block 	N.PfDD2_v1	AS.PfDD2_v1	NM.PfDD2_v1	XS.PfDD2_v1 	N.Pf3D7_v3	AS.Pf3D7_v3	NM.Pf3D7_v3	XS.Pf3D7_v3 
1 	1	9950	4	54 	1	9382	293	0 
2 	5	10058	425	201 	1	9374	179	91 
3 	1	9842	4	54 	3	9679	203	56 
4 	1	10011	0	73 	1	9533	189	79 
5 	1	10086	0	60 	2	9649	1502	134 
6 	1	10067	4	1477 	2	9873	142	1481 
7 	13	4866	700	3373 	2	10746	199	2976 
8 	4	7174	811	4169 	1	9999	0	4523 
9 	10	3114	1000	2313 	1	9999	0	1282 
10 	15	3863	942	2407 	1	9999	0	1184 
11 	12	3439	744	2728 	1	9966	7	748 
12 	9	7645	486	3625 	1	9393	169	2054 
13 	12	5525	678	4274 	1	9999	0	3501 
14 	9	3909	678	2826 	1	9999	0	1377 
15 	14	4046	650	1282 	1	9999	0	736 
16 	1	8977	266	394 	1	9459	132	1010 
17 	1	9972	2	76 	1	9352	194	76 
18 	1	9978	0	81 	1	9452	163	104 
19 	1	9992	2	64 	1	9552	138	55 
20 	1	10005	2	60 	1	9537	136	64 
21 	1	9973	0	179 	1	9597	120	214 
22 	2	10164	40	162 	1	9410	202	60 
23 	1	10013	2	79 	2	9775	203	130 
24 	1	9918	6	80 	1	8495	297	69 
25 	1	9916	4	55 	1	8739	195	61 
26 	1	9897	2	72 	2	9445	241	164 
27 	1	9933	0	62 	2	10993	1006	121 
28 	2	9933	13	72 	2	11168	354	138 
29 	2	9763	45	59 	1	9252	637	119 
30 	2	9428	237	272 	1	9342	178	55 
