Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	2528	2244	2270	2542	2297	2175	2506	2590	2533	20514	20526	20624	10487	20605	20425	20540	20599
Th106.09		0	1570	1510	1194	1574	1541	1231	1199	1102	22500	22518	22570	11503	22599	22238	22318	22333
Th106.11			0	1166	1580	1205	1850	1562	1613	1531	22476	22493	22589	11490	22589	22183	22305	22319
Th117.11				0	1562	1129	1906	1531	1588	1523	22484	22486	22544	11483	22578	22251	22350	22389
Th132.11					0	1585	1509	1245	1247	1157	22500	22517	22585	11522	22637	22277	22349	22358
Th134.11						0	1936	1568	1589	1513	22440	22508	22567	11509	22584	22201	22352	22326
Th162.12							0	1469	1550	1551	21961	21946	22074	11249	22059	21765	21902	21939
Th196.12								0	1197	1179	22411	22450	22516	11491	22533	22148	22279	22291
Th230.12									0	1195	22436	22448	22539	11489	22572	22207	22296	22336
Th074.13										0	22455	22458	22522	11495	22579	22235	22306	22341
Th166.12											0	1219	1201	606	1212	22468	22514	22592
Th092.13												0	1198	644	1231	22470	22558	22620
Th211.13													0	606	1192	22562	22599	22691
Th245.13														0	558	11486	11501	11593
Th246.13															0	22592	22648	22656
Th068.12																0	1123	1186
Th061.13																	0	1175
Th095.13																		0
