chr	pos
PFC10_API_IRAB	23
PFC10_API_IRAB	987
PFC10_API_IRAB	1205
PFC10_API_IRAB	2732
PFC10_API_IRAB	2784
PFC10_API_IRAB	2787
PFC10_API_IRAB	15405
PFC10_API_IRAB	18694
PFC10_API_IRAB	18828
PFC10_API_IRAB	18860
PFC10_API_IRAB	23946
PFC10_API_IRAB	23947
PFC10_API_IRAB	27761
PFC10_API_IRAB	28008
PFC10_API_IRAB	28127
PFC10_API_IRAB	29000
Pf3D7_01_v3	128833
Pf3D7_01_v3	185295
Pf3D7_01_v3	185298
Pf3D7_01_v3	185301
Pf3D7_01_v3	201376
Pf3D7_01_v3	201377
Pf3D7_01_v3	238457
Pf3D7_01_v3	264313
Pf3D7_01_v3	334060
Pf3D7_01_v3	407052
Pf3D7_01_v3	407058
Pf3D7_01_v3	407065
Pf3D7_01_v3	407067
Pf3D7_01_v3	407074
Pf3D7_01_v3	407075
Pf3D7_01_v3	407078
Pf3D7_01_v3	407080
Pf3D7_01_v3	407081
Pf3D7_01_v3	407082
Pf3D7_01_v3	407083
Pf3D7_01_v3	407085
Pf3D7_01_v3	407086
Pf3D7_01_v3	407090
Pf3D7_01_v3	407096
Pf3D7_01_v3	407097
Pf3D7_01_v3	407099
Pf3D7_01_v3	429719
Pf3D7_01_v3	431435
Pf3D7_01_v3	431437
Pf3D7_01_v3	431440
Pf3D7_01_v3	431442
Pf3D7_01_v3	431444
Pf3D7_01_v3	431445
Pf3D7_01_v3	431446
Pf3D7_01_v3	431448
Pf3D7_01_v3	431450
Pf3D7_01_v3	431452
Pf3D7_01_v3	431455
Pf3D7_01_v3	481093
Pf3D7_01_v3	481368
Pf3D7_01_v3	481414
Pf3D7_01_v3	482386
Pf3D7_01_v3	482858
Pf3D7_01_v3	483307
Pf3D7_01_v3	483601
Pf3D7_01_v3	484106
Pf3D7_01_v3	484688
Pf3D7_01_v3	484891
Pf3D7_01_v3	485268
Pf3D7_01_v3	485331
Pf3D7_01_v3	486040
Pf3D7_01_v3	486041
Pf3D7_01_v3	486230
Pf3D7_01_v3	486391
Pf3D7_01_v3	486675
Pf3D7_01_v3	487057
Pf3D7_01_v3	487667
Pf3D7_01_v3	487782
Pf3D7_01_v3	487958
Pf3D7_01_v3	487970
Pf3D7_01_v3	487985
Pf3D7_01_v3	487991
Pf3D7_01_v3	488039
Pf3D7_01_v3	488150
Pf3D7_01_v3	488210
Pf3D7_01_v3	488754
Pf3D7_01_v3	488912
Pf3D7_01_v3	489421
Pf3D7_01_v3	489460
Pf3D7_01_v3	490150
Pf3D7_01_v3	491158
Pf3D7_01_v3	491166
Pf3D7_01_v3	491167
Pf3D7_01_v3	491535
Pf3D7_01_v3	492563
Pf3D7_01_v3	492579
Pf3D7_01_v3	492892
Pf3D7_01_v3	493159
Pf3D7_01_v3	493179
Pf3D7_01_v3	493187
