#chrom	start	end	d1	d2	d3	SNPS	Smatch	Smiss	Spriv	INDELS	Imatch	Imiss	Ipriv
Pf3D7_07_v3 450000 460000 9973	0	9974	96.4893	0.0	99.7729	96.7428055751	0.0	100.027170644 36 0.777777777778 0.0 0.222222222222 6 0.666666666667 0.166666666667 0.166666666667 
Pf3D7_07_v3 460000 470000 10000	0	9913	101.8134	0.0	98.666	101.8134	0.0	99.5293049531 67 0.65671641791 0.044776119403 0.298507462687 8 0.75 0.0 0.25 
Pf3D7_07_v3 470000 480000 10000	5032	9998	101.7225	46.6033	101.4944	101.7225	92.6041335453	101.514602921 42 0.690476190476 0.047619047619 0.261904761905 10 0.3 0.1 0.6 
Pf3D7_07_v3 480000 490000 10000	9992	9685	99.602	98.0119	98.002	99.602	98.0878702962	101.184925142 20 0.6 0.05 0.35 6 0.666666666667 0.0 0.333333333333 
Pf3D7_07_v3 490000 500000 10000	10000	10000	100.0416	98.8685	103.7656	100.0416	98.8685	103.7656 53 0.528301886792 0.0188679245283 0.452830188679 10 0.5 0.0 0.5 
Pf3D7_07_v3 500000 510000 10000	9997	10000	99.4391	96.9605	100.3145	99.4391	96.988496549	100.3145 51 0.509803921569 0.0392156862745 0.450980392157 7 0.571428571429 0.0 0.428571428571 
Pf3D7_07_v3 510000 520000 10000	1964	2124	103.6186	9.989	10.3206	103.6186	50.6186354379	47.829566855 22 0.636363636364 0.181818181818 0.181818181818 4 0.5 0.25 0.25 
Pf3D7_07_v3 520000 530000 10000	472	2114	103.0241	1.2375	5.2906	103.0241	24.2860169492	24.2213812677 0 0.0 0.0 0.0 0 0.0 0.0 0.0 
Pf3D7_07_v3 530000 540000 10000	488	755	101.4081	1.7804	2.0103	101.4081	35.6290983607	26.1218543046 0 0.0 0.0 0.0 0 0.0 0.0 0.0 
Pf3D7_07_v3 540000 550000 10000	591	408	98.7969	1.3657	0.8873	98.7969	22.3807106599	19.6446078431 0 0.0 0.0 0.0 0 0.0 0.0 0.0 
Pf3D7_07_v3 550000 560000 10000	3321	1524	102.4506	16.1083	4.7039	102.4506	48.0803974706	30.093175853 3 0.666666666667 0.0 0.333333333333 0 0.0 0.0 0.0 
Pf3D7_07_v3 560000 570000 10000	6693	345	101.8175	55.8607	1.0885	101.8175	83.2235171074	30.2173913043 29 0.655172413793 0.103448275862 0.241379310345 6 0.333333333333 0.333333333333 0.333333333333 
Pf3D7_07_v3 570000 580000 10000	1090	2754	98.062	5.0513	6.4161	98.062	45.9660550459	22.66194626 0 0.0 0.0 0.0 0 0.0 0.0 0.0 
Pf3D7_07_v3 580000 590000 10000	2780	2068	100.4175	14.0044	11.2309	100.4175	50.0575539568	54.0043520309 0 0.0 0.0 0.0 0 0.0 0.0 0.0 
Pf3D7_07_v3 590000 600000 10000	3210	3355	100.2489	26.1826	22.8027	100.2489	81.2199376947	67.7782414307 20 0.6 0.1 0.3 0 0.0 0.0 0.0 
Pf3D7_07_v3 600000 610000 10000	9884	9882	95.9966	97.0248	101.3543	95.9966	98.1621813031	102.561526007 214 0.728971962617 0.0514018691589 0.219626168224 17 0.352941176471 0.117647058824 0.529411764706 
Pf3D7_07_v3 610000 620000 10000	9992	9996	98.611	97.4391	105.1593	98.611	97.5148118495	105.200580232 47 0.659574468085 0.0425531914894 0.297872340426 10 0.7 0.0 0.3 
Pf3D7_07_v3 620000 630000 10000	10000	10000	100.2337	98.656	101.8358	100.2337	98.656	101.8358 47 0.489361702128 0.0212765957447 0.489361702128 6 0.5 0.0 0.5 
Pf3D7_07_v3 630000 640000 10000	9996	9996	99.4323	97.6905	98.4755	99.4323	97.7285914366	98.5135054022 27 0.518518518519 0.0 0.481481481481 8 0.25 0.0 0.75 
Pf3D7_07_v3 640000 650000 10000	10000	10000	100.676	99.707	102.6707	100.676	99.707	102.6707 25 0.2 0.08 0.72 12 0.5 0.0 0.5 
Pf3D7_07_v3 650000 660000 10000	10000	9902	97.5768	97.7229	97.811	97.5768	97.7229	98.7766107857 26 0.423076923077 0.0 0.576923076923 6 0.333333333333 0.0 0.666666666667 
Pf3D7_07_v3 660000 670000 10000	9992	9992	99.8006	102.6922	100.0534	99.8006	102.773919135	100.132506005 36 0.388888888889 0.0 0.611111111111 9 0.555555555556 0.111111111111 0.333333333333 
Pf3D7_07_v3 670000 680000 10000	9995	9996	99.5352	100.5304	95.4224	99.5352	100.579489745	95.4605842337 28 0.535714285714 0.0357142857143 0.428571428571 11 0.363636363636 0.0 0.636363636364 
Pf3D7_07_v3 680000 690000 10000	9965	9965	100.808	101.3048	94.0106	100.808	101.659909684	94.3403913698 39 0.307692307692 0.179487179487 0.512820512821 11 0.727272727273 0.0 0.272727272727 
Pf3D7_07_v3 690000 700000 10000	9994	9995	100.2028	96.4002	100.391	100.2028	96.4567740644	100.43941971 27 0.333333333333 0.0740740740741 0.592592592593 19 0.684210526316 0.0 0.315789473684 
Pf3D7_07_v3 700000 710000 10000	10000	10000	99.6058	97.9925	100.637	99.6058	97.9925	100.637 40 0.475 0.05 0.475 12 0.833333333333 0.0833333333333 0.0833333333333 
Pf3D7_07_v3 710000 720000 10000	10000	10000	101.2341	95.6381	110.3278	101.2341	95.6381	110.3278 36 0.416666666667 0.0277777777778 0.555555555556 14 0.571428571429 0.142857142857 0.285714285714 
Pf3D7_07_v3 720000 730000 10000	9988	10000	98.0561	93.6299	96.6025	98.0561	93.7414897877	96.6025 31 0.387096774194 0.0 0.612903225806 25 0.4 0.08 0.52 
Pf3D7_07_v3 730000 740000 10000	9930	9991	98.2111	100.7477	99.7647	98.2111	101.455790534	99.8534681213 26 0.230769230769 0.0 0.769230769231 21 0.238095238095 0.142857142857 0.619047619048 
Pf3D7_07_v3 740000 750000 9980	9957	9997	98.8088	100.4231	100.2007	99.0012024048	100.854574671	100.229568871 41 0.365853658537 0.0 0.634146341463 11 0.181818181818 0.0909090909091 0.727272727273 
