Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	109	70	80	112	77	106	115	106	106	162	191	165	128	161	129	141	136
Th106.09		0	51	59	11	56	11	18	9	9	195	224	198	169	194	158	170	165
Th106.11			0	14	50	11	50	55	46	46	188	217	191	162	187	155	167	162
Th117.11				0	58	17	56	59	54	54	188	217	191	162	187	163	175	170
Th132.11					0	57	12	13	8	10	188	217	191	162	187	153	165	160
Th134.11						0	53	60	51	51	191	220	194	165	190	158	170	165
Th162.12							0	15	6	8	190	219	193	164	189	155	167	162
Th196.12								0	11	13	195	224	198	169	194	158	170	165
Th230.12									0	4	192	221	195	166	191	155	167	162
Th074.13										0	192	221	195	166	191	155	167	162
Th166.12											0	53	39	124	39	189	191	184
Th092.13												0	58	147	68	220	222	215
Th211.13													0	129	48	194	196	189
Th245.13														0	141	173	175	172
Th246.13															0	196	200	193
Th068.12																0	86	77
Th061.13																	0	81
Th095.13																		0
