form	to	chr	start	end	different
Th086.07	Th106.09	1	102006	526811	1
Th086.07	Th106.09	2	171009	801989	1
Th086.07	Th106.09	3	451892	959881	1
Th086.07	Th106.09	4	322902	1145906	1
Th086.07	Th106.09	5	245717	1232965	1
Th086.07	Th106.09	6	96728	1208286	1
Th086.07	Th106.09	7	177882	1336649	1
Th086.07	Th106.09	8	86607	1221692	1
Th086.07	Th106.09	9	220108	1467426	1
Th086.07	Th106.09	10	311043	1531241	1
Th086.07	Th106.09	11	206388	1999124	1
Th086.07	Th106.09	12	137605	2120215	1
Th086.07	Th106.11	1	102006	526811	1
Th086.07	Th106.11	2	171009	801989	1
Th086.07	Th106.11	3	451892	499984	0
Th086.07	Th106.11	3	505911	716463	1
Th086.07	Th106.11	3	758089	920630	0
Th086.07	Th106.11	3	959791	959881	1
Th086.07	Th106.11	4	322902	1145906	1
Th086.07	Th106.11	5	245717	313674	1
Th086.07	Th106.11	5	370000	383150	0
Th086.07	Th106.11	5	468880	1232965	1
Th086.07	Th106.11	6	96728	1208286	1
Th086.07	Th106.11	7	177882	1336649	1
Th086.07	Th106.11	8	86607	268939	0
Th086.07	Th106.11	8	574501	1221692	1
Th086.07	Th106.11	9	220108	1467426	1
Th086.07	Th106.11	10	311043	1531241	1
Th086.07	Th106.11	11	206388	531015	1
Th086.07	Th106.11	11	678277	735896	0
Th086.07	Th106.11	11	905717	1253927	1
Th086.07	Th106.11	11	1348097	1470529	0
Th086.07	Th106.11	11	1557873	1999124	1
Th086.07	Th106.11	12	137605	2120215	1
Th086.07	Th117.11	1	102006	526811	1
Th086.07	Th117.11	2	171009	326554	1
Th086.07	Th117.11	2	604943	719769	0
Th086.07	Th117.11	2	738511	801989	1
Th086.07	Th117.11	3	451892	499984	0
Th086.07	Th117.11	3	505911	716463	1
Th086.07	Th117.11	3	758089	920630	0
Th086.07	Th117.11	3	959791	959881	1
Th086.07	Th117.11	4	322902	1145906	1
Th086.07	Th117.11	5	245717	313674	1
Th086.07	Th117.11	5	370000	383150	0
Th086.07	Th117.11	5	468880	1232965	1
