sample1	sample2	chr	start	end	different
Th132.11	Th134.11	1	94599	376602	0
Th132.11	Th134.11	1	386692	387790	1
Th132.11	Th134.11	1	397021	573301	0
Th132.11	Th134.11	2	114668	253565	0
Th132.11	Th134.11	2	254409	255652	1
Th132.11	Th134.11	2	257350	710559	0
Th132.11	Th134.11	2	711854	719769	1
Th132.11	Th134.11	2	724049	869521	0
Th132.11	Th134.11	3	69859	443515	0
Th132.11	Th134.11	3	445545	505929	1
Th132.11	Th134.11	3	514580	753511	0
Th132.11	Th134.11	3	756759	758658	1
Th132.11	Th134.11	3	759434	808074	0
Th132.11	Th134.11	3	811239	921733	1
Th132.11	Th134.11	3	922562	996702	0
Th132.11	Th134.11	4	89547	300319	0
Th132.11	Th134.11	4	301527	302168	1
Th132.11	Th134.11	4	302637	1145906	0
Th132.11	Th134.11	4	1147895	1149070	1
Th132.11	Th134.11	5	45718	206083	0
Th132.11	Th134.11	5	207904	209940	1
Th132.11	Th134.11	5	220024	367911	0
Th132.11	Th134.11	5	369555	383150	1
Th132.11	Th134.11	5	383835	567102	0
Th132.11	Th134.11	5	568548	600522	1
Th132.11	Th134.11	5	601693	659977	0
Th132.11	Th134.11	5	664277	664347	1
Th132.11	Th134.11	5	665498	859765	0
Th132.11	Th134.11	5	870028	870064	1
Th132.11	Th134.11	5	875109	1169102	0
Th132.11	Th134.11	5	1169923	1173366	1
Th132.11	Th134.11	5	1173726	1319772	0
Th132.11	Th134.11	6	77991	1298565	0
Th132.11	Th134.11	7	94499	941559	0
Th132.11	Th134.11	7	943757	945025	1
Th132.11	Th134.11	7	946220	1049478	0
Th132.11	Th134.11	7	1049966	1054777	1
Th132.11	Th134.11	7	1063139	1376685	0
Th132.11	Th134.11	8	82369	140501	0
Th132.11	Th134.11	8	142207	142558	1
Th132.11	Th134.11	8	145818	224008	0
Th132.11	Th134.11	8	226719	228346	1
Th132.11	Th134.11	8	234509	659148	0
Th132.11	Th134.11	8	667191	672963	1
Th132.11	Th134.11	8	674002	772621	0
Th132.11	Th134.11	8	773741	774910	1
Th132.11	Th134.11	8	777182	900579	0
Th132.11	Th134.11	8	901128	905427	1
Th132.11	Th134.11	8	907275	941295	0
Th132.11	Th134.11	8	942692	943826	1
Th132.11	Th134.11	8	944808	1055248	0
Th132.11	Th134.11	8	1061135	1064687	1
Th132.11	Th134.11	8	1065620	1202281	0
Th132.11	Th134.11	8	1208457	1214338	1
Th132.11	Th134.11	8	1215354	1369816	0
Th132.11	Th134.11	9	89887	1059896	0
Th132.11	Th134.11	9	1067006	1068367	1
Th132.11	Th134.11	9	1070439	1382372	0
Th132.11	Th134.11	9	1386014	1388528	1
Th132.11	Th134.11	9	1389394	1469912	0
Th132.11	Th134.11	10	61472	790331	0
Th132.11	Th134.11	10	792083	802599	1
Th132.11	Th134.11	10	809015	1569756	0
Th132.11	Th134.11	11	114541	360567	0
Th132.11	Th134.11	11	370841	373092	1
Th132.11	Th134.11	11	374879	690950	0
Th132.11	Th134.11	11	692535	703107	1
Th132.11	Th134.11	11	705997	1345530	0
Th132.11	Th134.11	11	1348031	1441781	1
Th132.11	Th134.11	11	1442329	1675656	0
Th132.11	Th134.11	11	1680050	1684273	1
Th132.11	Th134.11	11	1685640	1991004	0
Th132.11	Th134.11	11	1991611	1999124	1
Th132.11	Th134.11	12	59502	678685	0
Th132.11	Th134.11	12	682292	683691	1
Th132.11	Th134.11	12	699987	1373829	0
Th132.11	Th134.11	12	1375701	1378724	1
