sample1	sample2	chr	start	end	different
Th086.07	Th106.09	1	98868	526811	1
Th086.07	Th106.09	2	157590	857896	1
Th086.07	Th106.09	3	296741	959881	1
Th086.07	Th106.09	4	205051	1145906	1
Th086.07	Th106.09	5	75898	1286168	1
Th086.07	Th106.09	6	96728	1259811	1
Th086.07	Th106.09	7	177614	1336649	1
Th086.07	Th106.09	8	86607	1221692	1
Th086.07	Th106.09	9	151618	1467426	1
Th086.07	Th106.09	10	77930	1531014	1
Th086.07	Th106.09	11	206388	1999124	1
Th086.07	Th106.09	12	137599	2158910	1
Th086.07	Th106.09	13	281836	2679791	1
Th086.07	Th106.09	14	309530	3181603	1
Th086.07	Th106.11	1	98868	526811	1
Th086.07	Th106.11	2	157590	604943	1
Th086.07	Th106.11	2	678352	719769	0
Th086.07	Th106.11	2	738511	857896	1
Th086.07	Th106.11	3	296741	405938	1
Th086.07	Th106.11	3	445545	501747	0
Th086.07	Th106.11	3	505911	786447	1
Th086.07	Th106.11	3	808075	920630	0
Th086.07	Th106.11	3	942436	959881	1
Th086.07	Th106.11	4	205051	1145906	1
Th086.07	Th106.11	5	75898	327248	1
Th086.07	Th106.11	5	370000	383150	0
Th086.07	Th106.11	5	417466	1286168	1
Th086.07	Th106.11	6	96728	1259811	1
Th086.07	Th106.11	7	177614	1336649	1
Th086.07	Th106.11	8	86607	1221692	1
Th086.07	Th106.11	9	151618	1467426	1
Th086.07	Th106.11	10	77930	1531014	1
Th086.07	Th106.11	11	206388	640472	1
Th086.07	Th106.11	11	678277	772118	0
Th086.07	Th106.11	11	794180	1253927	1
Th086.07	Th106.11	11	1348031	1441321	0
Th086.07	Th106.11	11	1557873	1557873	1
Th086.07	Th106.11	11	1609687	1719101	0
Th086.07	Th106.11	11	1753155	1778244	1
Th086.07	Th106.11	11	1910685	1999124	0
Th086.07	Th106.11	12	137599	2158910	1
Th086.07	Th106.11	13	281836	2679791	1
Th086.07	Th106.11	14	309530	309530	1
Th086.07	Th106.11	14	417733	1222966	0
Th086.07	Th106.11	14	1705288	2815562	1
Th086.07	Th106.11	14	3181603	3181603	0
Th086.07	Th117.11	1	98868	526811	1
Th086.07	Th117.11	2	157590	604943	1
Th086.07	Th117.11	2	678352	719769	0
Th086.07	Th117.11	2	738511	857896	1
Th086.07	Th117.11	3	296741	405938	1
Th086.07	Th117.11	3	445545	501747	0
Th086.07	Th117.11	3	505911	786447	1
Th086.07	Th117.11	3	808075	920630	0
Th086.07	Th117.11	3	942436	959881	1
Th086.07	Th117.11	4	205051	1145906	1
Th086.07	Th117.11	5	75898	327248	1
Th086.07	Th117.11	5	370000	383150	0
Th086.07	Th117.11	5	417466	1286168	1
Th086.07	Th117.11	6	96728	1259811	1
Th086.07	Th117.11	7	177614	1336649	1
Th086.07	Th117.11	8	86607	1221692	1
Th086.07	Th117.11	9	151618	1467426	1
Th086.07	Th117.11	10	77930	1531014	1
Th086.07	Th117.11	11	206388	640472	1
Th086.07	Th117.11	11	678277	772118	0
Th086.07	Th117.11	11	794180	1253927	1
Th086.07	Th117.11	11	1348031	1441321	0
Th086.07	Th117.11	11	1557873	1557873	1
Th086.07	Th117.11	11	1609687	1719101	0
Th086.07	Th117.11	11	1753155	1778244	1
Th086.07	Th117.11	11	1910685	1999124	0
Th086.07	Th117.11	12	137599	2158910	1
Th086.07	Th117.11	13	281836	1121978	1
Th086.07	Th117.11	13	1200775	1322955	0
Th086.07	Th117.11	13	1402957	2679791	1
Th086.07	Th117.11	14	309530	1222966	0
Th086.07	Th117.11	14	1705288	2815562	1
Th086.07	Th117.11	14	3181603	3181603	0
Th086.07	Th132.11	1	98868	526811	1
Th086.07	Th132.11	2	157590	857896	1
Th086.07	Th132.11	3	296741	959881	1
Th086.07	Th132.11	4	205051	1145906	1
Th086.07	Th132.11	5	75898	1286168	1
