Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	3149	2790	2855	3153	2857	2712	3111	3213	3163	24456	24502	24554	12848	24599	24157	24293	24305
Th106.09		0	1934	1875	1431	1947	1905	1495	1484	1357	26871	26925	26916	14087	26988	26390	26447	26425
Th106.11			0	1440	1932	1473	2342	1915	1965	1908	26884	26956	26983	14134	27016	26377	26494	26462
Th117.11				0	1911	1469	2380	1921	1957	1919	26930	26979	26980	14172	27033	26436	26544	26571
Th132.11					0	1947	1907	1528	1518	1426	26945	26994	27029	14175	27101	26464	26499	26484
Th134.11						0	2449	1941	1966	1902	26883	27001	26990	14180	27031	26450	26576	26531
Th162.12							0	1824	1984	1963	26261	26277	26353	13825	26356	25797	25923	25930
Th196.12								0	1456	1446	26805	26862	26881	14113	26943	26273	26367	26363
Th230.12									0	1469	26881	26917	26964	14172	27023	26393	26460	26465
Th074.13										0	26807	26871	26865	14076	26966	26353	26425	26414
Th166.12											0	1481	1457	771	1459	26856	26877	26930
Th092.13												0	1452	812	1504	26831	26907	26951
Th211.13													0	780	1470	26921	26929	27013
Th245.13														0	694	14100	14084	14167
Th246.13															0	26965	27017	27004
Th068.12																0	1356	1454
Th061.13																	0	1425
Th095.13																		0
